sample_id	participant_id	sample_type
slide2section1IC	MG220216	tissue
slide2section2IC	MG220216	tissue
slide2section3IC	MG220216	tissue
slide2section4IC	MG220216	tissue
slide2section5IC	MG220216	tissue
slide2section6IC	MG220216	tissue
slide2section7IC	MG220216	tissue
slide3section4IC	MG220216	tissue
slide1section12MGN	MG220405	tissue
slide1section2IC	MG220405	tissue
slide1section3IC	MG220405	tissue
slide1section4IC	MG220405	tissue
slide1section5IC	MG220405	tissue
slide1section6IC	MG220405	tissue
slide1section7IC	MG220405	tissue
slide1section8IC	MG220405	tissue
slide1section9IC	MG220405	tissue
slide2section6MGN	MG220405	tissue
slide1section10IC	MG220318	tissue
slide1section8IC	MG220318	tissue
slide1section9IC	MG220318	tissue
slide2section1IC	MG220318	tissue
slide2section2IC	MG220318	tissue
slide2section3IC	MG220318	tissue
slide3section5MGN	MG220318	tissue
slide1section6IC	HK220615	tissue
slide1section7IC	HK220615	tissue
slide1section8IC	HK220615	tissue
slide2section1IC	HK220615	tissue
slide2section2IC	HK220615	tissue
slide2section3IC	HK220615	tissue
slide2section4IC	HK220615	tissue
slide2section5IC	HK220615	tissue
slide3section1MGN	HK220615	tissue
slide1section13MGN	MG220513	tissue
slide1section15MGN	MG220513	tissue
slide1section3IC	MG220513	tissue
slide1section4IC	MG220513	tissue
slide1section5IC	MG220513	tissue
slide1section6IC	MG220513	tissue
slide1section7IC	MG220513	tissue
slide1section10IC	MG220615	tissue
slide1section8IC	MG220615	tissue
slide1section9IC	MG220615	tissue
slide2section10MGN	MG220615	tissue
slide2section1IC	MG220615	tissue
slide2section2IC	MG220615	tissue
slide2section3IC	MG220615	tissue
slide2section4IC	MG220615	tissue
slide2section7MGN	MG220615	tissue
slide4section3IC	MG220615	tissue
slide1section10IC	MG220512	tissue
slide1section4IC	MG220512	tissue
slide1section5IC	MG220512	tissue
slide1section6IC	MG220512	tissue
slide1section7IC	MG220512	tissue
slide1section8IC	MG220512	tissue
slide1section9IC	MG220512	tissue
slide2section2MGN	MG220512	tissue
slide2section4MGN	MG220512	tissue
slide2section1IC	MG220301B	tissue
slide2section2IC	MG220301B	tissue
slide2section3IC	MG220301B	tissue
slide2section4IC	MG220301B	tissue
slide2section5IC	MG220301B	tissue
slide2section6IC	MG220301B	tissue
slide2section7IC	MG220301B	tissue
slide2section8IC	MG220301B	tissue
slide2section9IC	MG220301B	tissue
slide3section6MGN	MG220301B	tissue
slide3section7MGN	MG220301B	tissue
slide3section8MGN	MG220301B	tissue
slide4section1MGN	MG220301B	tissue
slide4section2MGN	MG220301B	tissue
slide4section3MGN	MG220301B	tissue
slide3section6IC	MG220301B	tissue
slide3section8IC	MG220301B	tissue
